Gene,Reported_mutation,Accession,NameFromLCHIP
OSBPL10,COSMICUniq,NM_017784,OSBPL10
P2RY8,COSMICUniq,NM_178129,P2RY8
PABPC3,COSMICUniq,NM_030979,PABPC3
PCBP1,COSMICUniq,NM_006196,PCBP1
PEX14,COSMICUniq,NM_004565,PEX14
PIM1,COSMICUniqChanged,NM_002648,PIM1
PIM2,COSMICUniq,NM_006875,PIM2
POU2AF1,COSMICUniq,NM_006235,POU2AF1
PPP4R3A,COSMICUniq,NM_001366432,PPP4R3A
PRDM1,COSMICUniq,NM_001198,PRDM1
PRKCB,COSMICUniq,NM_002738,PRKCB
SCG3,COSMICUniq,NM_013243,SCG3
SGK1,COSMICUniq,NM_001143676,SGK1
SLC9A6,COSMICUniq,NM_001042537,SLC9A6
SOCS6,COSMICUniq,NM_004232,SOCS6
TMEM30A,COSMICUniq,NM_018247,TMEM30A
TMSB4X,COSMICUniq,NM_021109,TMSB4X
TRAF3,COSMICUniq,NM_145725,TRAF3
UBE2A,COSMICUniq,NM_003336,UBE2A
USP6,COSMICUniq,NM_001304284,USP6
CD79B,COSMICManualChanged,NM_000626,CD79B
CD83,COSMICManual,NM_004233,CD83
DGKB,COSMICManual,NM_001350705,DGKB
HVCN1,COSMICManual,NM_032369,HVCN1
MAP2K1,COSMICManual,NM_002755,MAP2K1
MED11,COSMICManual,NM_001001683,MED11
PIK3CA,COSMICManual,NM_006218,PIK3CA
RBMXL1,COSMICManual,NM_019610,RBMXL1
TBL1XR1,COSMICManual,NM_001321194,TBL1XR1
TCL1A,COSMICManual,NM_021966,TCL1A
TUT4,COSMICManual,NM_015269,TUT4
CCL4,Manual,NM_002984,CCL4
