"LCHIP_Name","ATFF","Gene"
"PCLO","Frameshift/stop gain/splice site, Nonsynonymous","PCLO"
"PDCD1","Frameshift/stop gain/splice site, Nonsynonymous","PDCD1"
"PDE4DIP","Frameshift/stop gain/splice site, Nonsynonymous","PDE4DIP"
"PDGFRB","Frameshift/stop gain/splice site, Nonsynonymous","PDGFRB"
"PEX14","Frameshift/stop gain/splice site, Nonsynonymous","PEX14"
"PIK3CA","Nonsynonymous","PIK3CA"
"PIK3CD","Nonsynonymous","PIK3CD"
"PIM1","Nonsynonymous","PIM1"
"PIM2","Frameshift/stop gain/splice site, Nonsynonymous","PIM2"
"PLCG2","Frameshift/stop gain/splice site, Nonsynonymous","PLCG2"
"PLXNB3","Frameshift/stop gain/splice site, Nonsynonymous","PLXNB3"
"POU2AF1","Frameshift/stop gain/splice site, Nonsynonymous","POU2AF1"
"POU2F2","Frameshift/stop gain/splice site, Nonsynonymous","POU2F2"
"PPP4R3A","Frameshift/stop gain/splice site, Nonsynonymous","PPP4R3A"
"PRKCB","Frameshift/stop gain/splice site, Nonsynonymous","PRKCB"
"PRUNE2","Frameshift/stop gain/splice site, Nonsynonymous","PRUNE2"
"PTCH1","Frameshift/stop gain/splice site, Nonsynonymous","PTCH1"
"PTEN","Nonsynonymous","PTEN"
"PTPN6","Frameshift/stop gain/splice site, Nonsynonymous","PTPN6"
"PTPRD","Nonsynonymous","PTPRD"
"PTPRK","Frameshift/stop gain/splice site, Nonsynonymous","PTPRK"
"RB1","Nonsynonymous","RB1"
"RBMXL1","Frameshift/stop gain/splice site, Nonsynonymous","RBMXL1"
"RCOR1","Frameshift/stop gain/splice site, Nonsynonymous","RCOR1"
"REL","Frameshift/stop gain/splice site, Nonsynonymous","REL"
"RET","Frameshift/stop gain/splice site, Nonsynonymous","RET"
"RHOA","Nonsynonymous","RHOA"
"ROS1","Frameshift/stop gain/splice site, Nonsynonymous","ROS1"
"RP1L1","Frameshift/stop gain/splice site, Nonsynonymous","RP1L1"
"RPS15","Frameshift/stop gain/splice site, Nonsynonymous","RPS15"
"SCG3","Frameshift/stop gain/splice site, Nonsynonymous","SCG3"
"SEL1L3","Frameshift/stop gain/splice site, Nonsynonymous","SEL1L3"
"SETD1B","Frameshift/stop gain/splice site, Nonsynonymous","SETD1B"
"SETD5","Frameshift/stop gain/splice site, Nonsynonymous","SETD5"
"SETDB1","Frameshift/stop gain/splice site, Nonsynonymous","SETDB1"
"SGK1","Frameshift/stop gain/splice site, Nonsynonymous","SGK1"
"SIN3A","Frameshift/stop gain/splice site, Nonsynonymous","SIN3A"
"SLC9A6","Frameshift/stop gain/splice site, Nonsynonymous","SLC9A6"
"SMARCA4","Nonsynonymous","SMARCA4"
"SOCS1","Nonsynonymous","SOCS1"
"SOCS6","Frameshift/stop gain/splice site, Nonsynonymous","SOCS6"
"SPIB","Frameshift/stop gain/splice site, Nonsynonymous","SPIB"
"STAT3","Nonsynonymous","STAT3"
"STAT6","Frameshift/stop gain/splice site, Nonsynonymous","STAT6"
"SYNE1","Frameshift/stop gain/splice site, Nonsynonymous","SYNE1"
"TAF1","Frameshift/stop gain/splice site, Nonsynonymous","TAF1"
"TBL1XR1","Nonsynonymous","TBL1XR1"
"TCL1A","Frameshift/stop gain/splice site, Nonsynonymous","TCL1A"
"TCTN2","Frameshift/stop gain/splice site, Nonsynonymous","TCTN2"
"TLR2","Frameshift/stop gain/splice site, Nonsynonymous","TLR2"
"TMEM30A","Frameshift/stop gain/splice site, Nonsynonymous","TMEM30A"
"TMSB4X","Frameshift/stop gain/splice site, Nonsynonymous","TMSB4X"
"TNIP1","Frameshift/stop gain/splice site, Nonsynonymous","TNIP1"
"TOX","Frameshift/stop gain/splice site, Nonsynonymous","TOX"
"TP63","Frameshift/stop gain/splice site, Nonsynonymous","TP63"
"TRAF3","Frameshift/stop gain/splice site, Nonsynonymous","TRAF3"
"TUT4","Frameshift/stop gain/splice site, Nonsynonymous","TUT4"
"UBE2A","Frameshift/stop gain/splice site, Nonsynonymous","UBE2A"
"UBR5","Frameshift/stop gain/splice site, Nonsynonymous","UBR5"
"USP6","Frameshift/stop gain/splice site, Nonsynonymous","USP6"
"VAV1","Frameshift/stop gain/splice site, Nonsynonymous","VAV1"
"WDFY3","Frameshift/stop gain/splice site, Nonsynonymous","WDFY3"
"XPO1","Nonsynonymous","XPO1"
"YY1","Frameshift/stop gain/splice site, Nonsynonymous","YY1"
"ZBTB11","Frameshift/stop gain/splice site, Nonsynonymous","ZBTB11"
"ZC3H12A","Frameshift/stop gain/splice site, Nonsynonymous","ZC3H12A"
"ZEB2","Frameshift/stop gain/splice site, Nonsynonymous","ZEB2"
"ZFP36L1","Frameshift/stop gain/splice site, Nonsynonymous","ZFP36L1"
"ZNF217","Frameshift/stop gain/splice site, Nonsynonymous","ZNF217"
"ZNF292","Frameshift/stop gain/splice site, Nonsynonymous","ZNF292"
"CCND3","C-terminal","CCND3"
"CXCR4","C-terminal","CXCR4"
"IRF8","C-terminal","IRF8"
"NOTCH1","C-terminal","NOTCH1"
"NOTCH2","C-terminal","NOTCH2"
